Feature_ID	mz	rt
93	99.05594391	5.2708737
94	99.05594999	4.867270733
95	99.05594392	5.4837507
96	99.53177421	0.334286378
97	99.53169135	1.927177683
98	100.0333862	0.337676832
99	100.0762645	2.0253948
100	101.0351908	5.516429683
101	101.0351987	5.06395245
102	101.0351884	5.9192864
103	101.0715724	5.493036867
104	101.0715659	5.900192017
105	101.071585	4.976248867
106	101.0714293	0.033089181
107	101.0795635	2.026843867
108	102.0212348	0.334731887
109	102.0344516	2.152388633
110	102.0344639	2.479650867
111	102.0344594	0.03494399
112	102.0344626	0.3384706
113	102.0666868	0.455419288
114	102.0918445	2.347985167
115	102.5360883	0.335172122
116	102.9708357	0.336059047
117	104.0711264	0.454071683
118	104.1075654	0.425310117
119	104.5238618	0.337870543
120	105.003836	0.33982637
121	105.0428605	0.375880063
122	105.0429319	5.0996279
123	105.0429218	5.938766183
124	105.0429143	3.210349283
125	105.042926	5.622185367
126	105.0429221	4.353990933
127	105.042927	5.37923275
128	105.0429167	3.639969933
129	105.0428884	2.313243733
130	105.042934	4.6776539
131	105.0429075	2.797404433
132	105.0551302	0.986732863
133	105.1108287	0.425436218
134	106.0045381	0.338892263
135	106.0462022	5.027895467
136	106.9511327	0.380046972
137	107.001291	0.338263877
138	108.9491501	0.378726467
139	110.0091781	0.336844583
140	110.0205297	0.02541733
141	110.0205404	2.370877817
142	110.0717936	5.483408033
143	110.071787	5.9287248
144	111.0207055	0.027240122
145	111.0207315	2.389385733
146	111.0098963	0.333967438
147	111.0396228	2.165166133
148	111.039653	0.337199983
149	111.0396211	0.035105155
150	111.5412867	0.336979683
151	111.5412546	2.1104728
152	112.0183771	0.033179639
153	112.0066324	0.334743913
154	112.0373367	0.408767017
155	112.8961793	0.39563098
156	113.0349938	0.596650503
157	113.0714432	5.63055575
158	113.071456	5.217989383
159	113.0714592	4.850354
160	113.5290521	0.33793338
161	113.9640801	0.12679176
162	114.0553438	0.71677984
163	114.0666492	0.456591432
164	114.0917366	2.244291783
165	114.8932656	0.391441377
166	115.0369698	0.428403515
167	115.0506336	5.606485167
168	115.0506038	0.596275013
169	115.0699404	0.456665888
170	116.0022803	0.336061022
171	116.0710387	0.463503417
172	117.0549642	0.52320385
173	117.0743346	0.46372456
174	118.0502465	0.596263728
175	118.07521	0.46530823
176	118.0866593	0.448020043
177	118.9429354	0.28304104
178	119.0836519	0.580260648
179	119.0899596	0.562768177
180	120.0035186	0.390939217
181	120.0658453	0.438560113
182	120.0811615	2.0318886
183	120.0770454	0.455405463
184	120.0907853	0.569959853
185	120.9812081	0.33950312
186	120.9811612	1.7346718
187	121.037559	0.380431507
188	121.0399578	0.750645487
189	121.0723546	0.444218783
190	121.084471	2.028914433
191	121.9747264	0.403716927
192	122.0195262	0.25437082
193	122.0366196	0.967441898
194	122.0716918	5.678513617
195	122.5475162	2.468712533
196	122.5474994	2.169102367
197	122.5475156	2.789317183
198	122.5475027	0.335658663
199	122.5475279	3.131739333
200	122.5474757	0.033355906
201	122.9248684	0.381642367
202	123.0141974	0.33906448
203	123.0443336	0.918851877
204	123.0406592	0.333826945
205	123.0555776	0.610658763
206	123.0795436	5.639620017
207	123.0795361	4.743413733
208	124.01496	0.332535297
209	124.0396031	0.437186847
210	124.0872759	5.483349233
211	124.0872637	5.921052333
212	124.0873101	4.796099333
213	124.0872203	2.42520385
214	124.922932	0.381377022
215	124.9740079	0.33471986
216	125.0116661	0.337420283
