	origin	Formula	Neutral_mass	mz	md	inclusion
HMDB31154	Endogenous	C6H10S3	177.9944624	176.9871858	0.9871858	y
HMDB29723	Endogenous	C7H5NO3S	182.9990137	181.9917371	0.9917371	y
HMDB00362	Endogenous	C3H7O7P	185.9929391	184.9856625	0.9856625	y
HMDB00807	Endogenous	C3H7O7P	185.9929391	184.9856625	0.9856625	y
HMDB03391	Endogenous	C3H7O7P	185.9929391	184.9856625	0.9856625	y
HMDB06039	Endogenous	C5H3ClN4O2	185.9944531	184.9871765	0.9871765	y
HMDB35717	Endogenous	C6H10O3S2	194.0071356	192.999859	0.999859	y
HMDB03966	Endogenous	C5H11NO2Se	196.9955004	195.9882238	0.9882238	y
HMDB11750	Endogenous	C4H7O7P	197.9929391	196.9856625	0.9856625	y
HMDB32653	Endogenous	C7H12OS3	208.0050271	206.9977505	0.9977505	y
HMDB12250	Endogenous	C4H8NO7P	213.0038381	211.9965615	0.9965615	y
HMDB29735	Endogenous	C13H8S2	228.0067416	226.999465	0.999465	y
HMDB01120	Endogenous	C5H12O7P2	246.0058258	244.9985492	0.9985492	y
HMDB01347	Endogenous	C5H12O7P2	246.0058258	244.9985492	0.9985492	y
HMDB01090	Endogenous	C6H14O10P2	308.0062197	306.9989431	0.9989431	y
HMDB01981	Endogenous	C6H14O10P2	308.0062197	306.9989431	0.9989431	y
HMDB00968	Endogenous	C6H14O12P2	339.9960489	338.9887723	0.9887723	y
HMDB01047	Endogenous	C6H14O12P2	339.9960489	338.9887723	0.9887723	y
HMDB01058	Endogenous	C6H14O12P2	339.9960489	338.9887723	0.9887723	y
HMDB03514	Endogenous	C6H14O12P2	339.9960489	338.9887723	0.9887723	y
HMDB06234	Endogenous	C6H14O12P2	339.9960489	338.9887723	0.9887723	y
HMDB06235	Endogenous	C6H14O12P2	339.9960489	338.9887723	0.9887723	y
HMDB06872	Endogenous	C6H14O12P2	339.9960489	338.9887723	0.9887723	y
HMDB31806	Endogenous	C4H7Br2Cl2O4P	377.7825759	376.7752993	0.7752993	y
HMDB00843	Endogenous	C8H15NO12S2	381.0035663	379.9962897	0.9962897	y
HMDB00793	Endogenous	C15H14INO4	398.9967514	397.9894748	0.9894748	y
HMDB00295	Endogenous	C9H14N2O12P2	404.0021969	402.9949203	0.9949203	y
HMDB01219	Endogenous	C10H2Cl10O	487.6990918	486.6918152	0.6918152	y
HMDB01532	Endogenous	C10H16N5O12P3	491.0008305	489.9935539	0.9935539	y
HMDB00980	Endogenous	C9H16N5O13P3	494.9957452	493.9884686	0.9884686	y
HMDB00538	Endogenous	C10H16N5O13P3	506.9957452	505.9884686	0.9884686	y
HMDB01440	Endogenous	C10H16N5O13P3	506.9957452	505.9884686	0.9884686	y
HMDB06821	Endogenous	C9H18N5O14P3	513.0063098	511.9990332	0.9990332	y
HMDB06823	Endogenous	C9H18N5O14P3	513.0063098	511.9990332	0.9990332	y
HMDB06822	Endogenous	C10H18N5O15P3	541.0012245	539.9939479	0.9939479	y
HMDB06796	Endogenous	C18H26N4O23P4	789.9938292	788.9865526	0.9865526	y
HMDB03834	Endogenous	C20H26N8O23P4	870.0061252	868.9988486	0.9988486	y
HMDB34106	Food	C2H3NS	72.99861979	71.99134319	0.99134319	y
HMDB34232	Food	C3H5ClO	92.00289249	90.99561589	0.99561589	y
HMDB32912	Food	C3H8S2	108.0067416	106.999465	0.999465	y
HMDB33052	Food	C4H8S2	120.0067416	118.999465	0.999465	y
HMDB36179	Food	C4H8S2	120.0067416	118.999465	0.999465	y
HMDB40250	Food	C4H8S2	120.0067416	118.999465	0.999465	y
HMDB41389	Food	C4H8S2	120.0067416	118.999465	0.999465	y
HMDB41391	Food	C4H8S2	120.0067416	118.999465	0.999465	y
HMDB39791	Food	C5H8S2	132.0067416	130.999465	0.999465	y
HMDB39792	Food	C5H8S2	132.0067416	130.999465	0.999465	y
HMDB39796	Food	C5H8S2	132.0067416	130.999465	0.999465	y
HMDB38442	Food	C4H7NS2	133.0019906	131.994714	0.994714	y
HMDB32744	Food	C4H8OS2	136.0016563	134.9943797	0.9943797	y
HMDB32745	Food	C4H8OS2	136.0016563	134.9943797	0.9943797	y
HMDB32746	Food	C4H8OS2	136.0016563	134.9943797	0.9943797	y
HMDB32747	Food	C4H8OS2	136.0016563	134.9943797	0.9943797	y
HMDB34901	Food	C6H8S2	144.0067416	142.999465	0.999465	y
HMDB40259	Food	C6H8S2	144.0067416	142.999465	0.999465	y
HMDB39797	Food	C5H8OS2	148.0016563	146.9943797	0.9943797	y
HMDB40230	Food	C5H8OS2	148.0016563	146.9943797	0.9943797	y
HMDB33670	Food	C4H8O2S2	151.9965709	150.9892943	0.9892943	y
HMDB35716	Food	C4H8O2S2	151.9965709	150.9892943	0.9892943	y
HMDB33047	Food	C4H10S3	153.9944624	152.9871858	0.9871858	y
HMDB39524	Food	C4H10S3	153.9944624	152.9871858	0.9871858	y
HMDB40239	Food	C4H10S3	153.9944624	152.9871858	0.9871858	y
HMDB40939	Food	C7H8S2	156.0067416	154.999465	0.999465	y
HMDB36807	Food	C6H8OS2	160.0016563	158.9943797	0.9943797	y
HMDB40199	Food	C6H8OS2	160.0016563	158.9943797	0.9943797	y
HMDB33585	Food	C4H5NO4S	162.9939283	161.9866517	0.9866517	y
HMDB33206	Food	C5H11AsO2	177.997501	176.9902244	0.9902244	y
HMDB33075	Food	C5H12OS3	184.0050271	182.9977505	0.9977505	y
HMDB32846	Food	C8H6ClNO3	199.0036208	197.9963442	0.9963442	y
HMDB33695	Food	C7H4O7	199.9957025	198.9884259	0.9884259	y
HMDB32982	Food	C10H10S3	225.9944624	224.9871858	0.9871858	y
HMDB34228	Food	C8H8N2O2S2	228.0027189	226.9954423	0.9954423	y
HMDB41646	Food	C8H8O6S	232.0041587	230.9968821	0.9968821	y
HMDB41789	Food	C8H8O6S	232.0041587	230.9968821	0.9968821	y
